f1-score,precision,recall,support
0.19740655987795577,0.13057517658930373,0.404375,1600.0
0.8916039971154837,0.9578131916777335,0.8339564463287724,25945.0
0.21351471240573708,0.1398411776099167,0.45125,1600.0
0.8899373021292446,0.9607720489679207,0.8288302177683562,25945.0
0.2037391432356838,0.13325630656653187,0.4325,1600.0
0.8880054661780235,0.9593772369362921,0.8265176334553864,25945.0
0.21340941512125536,0.13826247689463955,0.4675,1600.0
0.8853161397670549,0.9615089225208945,0.8203121988822509,25945.0
0.23297587131367292,0.14829351535836177,0.543125,1600.0
0.8798656309048919,0.966290062255015,0.8076315282328002,25945.0
0.19531137638429452,0.12684475994769287,0.424375,1600.0
0.8837692419552527,0.9584985580389329,0.8198496820196569,25945.0
0.19800055540127742,0.1272759728668333,0.445625,1600.0
0.8793852322084865,0.9595770860866791,0.8115629215648488,25945.0
0.19750519750519752,0.12467191601049869,0.475,1600.0
0.8696881461788413,0.9608373350738962,0.7943341684332241,25945.0
0.20965692503176622,0.13157894736842105,0.515625,1600.0
0.868276154171961,0.963572267920094,0.7901329735979957,25945.0
0.200561797752809,0.12934782608695652,0.44625,1600.0
0.8813425057327497,0.9597729852440409,0.8147619965311236,25945.0
