f1-score,precision,recall,support
0.2648854961832061,0.16629392971246007,0.650625,1600.0
0.8776625026466229,0.9737373737373738,0.7988437078435151,25945.0
0.24088488324457188,0.15411497466363797,0.55125,1600.0
0.8836225846295559,0.9670974246173586,0.8134129890152245,25945.0
0.24947793401085894,0.16048719326526956,0.56,1600.0
0.887469472102198,0.9679446316364629,0.8193486220851802,25945.0
0.2254901960784314,0.14307330195023538,0.531875,1600.0
0.8770350426990872,0.9653192573042553,0.8035459626132203,25945.0
0.22818791946308725,0.14611471671636556,0.520625,1600.0
0.882085835652556,0.9648873832631386,0.8123723260743881,25945.0
0.21788784806877964,0.13709026320038753,0.530625,1600.0
0.871133475696133,0.9648276508055451,0.7940258238581615,25945.0
0.2879792072774529,0.18178835110746513,0.6925,1600.0
0.8843970883004535,0.977062937062937,0.8077857005203315,25945.0
0.2421663442940039,0.15255889520714866,0.586875,1600.0
0.875842399915496,0.9690977092099112,0.7989593370591637,25945.0
0.20994475138121546,0.13382580312661055,0.486875,1600.0
0.8770060206843021,0.9622076965568035,0.8056658315667758,25945.0
0.2161323681489142,0.13624511082138202,0.5225,1600.0
0.8719432360518647,0.964314073520482,0.795721719021006,25945.0
