f1-score,precision,recall,support
0.18592226525978361,0.11822660098522167,0.435,1600.0
0.8719618511438355,0.9582602271677902,0.7999229138562344,25945.0
0.19931607230092818,0.12386156648451731,0.51,1600.0
0.8602191804187455,0.9625900653719521,0.7775293890923106,25945.0
0.19531148814920346,0.12318248652181016,0.47125,1600.0
0.8688382697544809,0.960511575802838,0.7931393332048564,25945.0
0.2253555967841682,0.14047802621434077,0.569375,1600.0
0.8667588554409106,0.967283950617284,0.7851609173251108,25945.0
0.23731459797033566,0.14985211961879724,0.57,1600.0
0.8763395494051135,0.9679388601519177,0.8005781460782424,25945.0
0.23357125276889,0.1454183266932271,0.593125,1600.0
0.867387786389575,0.9690280222655693,0.7850452881094623,25945.0
0.24650605616930654,0.15660409267715203,0.57875,1600.0
0.8810139353048743,0.9688424556213018,0.8077857005203315,25945.0
0.22371188222923238,0.1416444740346205,0.531875,1600.0
0.8756160229139464,0.9652226401077216,0.8012333783002505,25945.0
0.1765839556733317,0.10937033721277231,0.458125,1600.0
0.8538941608959562,0.9584033008683971,0.7699364039313933,25945.0
0.22712853698769192,0.1424932335615348,0.559375,1600.0
0.8709779914846746,0.9668453724604966,0.7924070148390827,25945.0
